License #,Dt,DBA Name,AKA Name,Facility Type,Inspection Date,License # - Flag
10139,2017-08-01,POPEYE'S CHICKEN RESTAURANT,POPEYE'S CHICKEN RESTAURANT,RESTAURANT,08/01/2017,Correct
10158,2012-01-09,ISLA AZUL FISH MARKET,ISLA AZUL FISH MARKET,UNKNOWN,01/09/2012,Correct
10166,2017-05-08,THE ARTS CLUB OF CHICAGO,THE ARTS CLUB OF CHICAGO,RESTAURANT,05/08/2017,Correct
10169,2015-11-10,CENTER RESTAURANT BAR,CENTER RESTAURANT BAR,RESTAURANT,11/10/2015,Correct
10175,2013-05-28,K & H LOUNGE INC,K & H LOUNGE INC,TAVERN,05/28/2013,Correct
10195,2012-04-18,BERNARD & VANESSA'S LOUNGE,BERNARD & VANESSA'S,TAVERN,04/18/2012,Correct
10215,2012-05-23,"A WHIZZ KIDS PRESCHOOL,INC #2","A WHIZZ KIDS PRESCHOOL,INC #2",DAYCARE (2-6 YEARS),05/23/2012,Correct
10218,2010-08-02,"COLONY FOOD & LIQUOR, INC.","COLONY FOOD & LIQUOR, INC.",GROCERY STORE,08/02/2010,Correct
10228,2013-08-05,"MONTESSORI ACADEMY & ASSOC., INC.","MONTESSORI ACADEMY & ASSOC., INC.",DAYCARE (ABOVE AND UNDER 2 YEARS),08/05/2013,Correct
10229,2017-05-25,CHICKEN INN,CHICKEN INN,RESTAURANT,05/25/2017,Correct
10230,2010-10-29,EXPRESSWAY 95 CARRY OUT,EXPRESSWAY 95 CARRY OUT,UNKNOWN,10/29/2010,Correct
10235,2017-03-13,HAI YEN,HAI YEN,RESTAURANT,03/13/2017,Correct
10240,2017-01-05,MOM'S BAKE SHOPPE & RESTAURANT,MOM'S BAKE SHOPPE & RESTAURANT,RESTAURANT,01/05/2017,Correct
10274,2014-07-17,CHICAGO MATH-SCIENCE ACADEMY,CHICAGO MATH-SCIENCE ACADEMY,SCHOOL,07/17/2014,Correct
10279,2010-10-05,FRUTERIA OLIVOS,FRUTERIA OLIVOS,UNKNOWN,10/05/2010,Correct
10306,2016-10-05,FINE FAIR FOOD & LIQUOR,FINE FAIR FOOD & LIQUOR,GROCERY STORE,10/05/2016,Correct
10351,2011-10-28,LIO FOOD DIST INC,LIO FOOD DIST INC,WHOLESALE,10/28/2011,Correct
10364,2013-10-15,PRIME FOOD CATERERS INC,PRIME FOOD CATERERS INC,UNKNOWN,10/15/2013,Correct
10366,2010-06-14,COLEMAN'S BAR B QUE #2,COLEMAN'S BAR B QUE #2,RESTAURANT,06/14/2010,Correct
10390,2013-10-31,CASS HOTEL,CASS HOTEL,UNKNOWN,10/31/2013,Correct
10393,2015-04-15,NORTHWESTERN MEMORIAL HOSPITAL (CAFETERIA-2ND),CAFE 251,RESTAURANT,04/15/2015,Correct
10395,2012-05-01,WHITE HEN PANTRY # 0 8605-1,WHITE HEN PANTRY # 0 8605-1,UNKNOWN,05/01/2012,Correct
10399,2017-02-10,TRIANO'S PIZZA,TRIANO'S PIZZA,RESTAURANT,02/10/2017,Correct
10400,2014-07-31,MIARA'S CONT'L PASTRY DELI INC,MIARA'S CONT'L PASTRY DELI,GROCERY STORE,07/31/2014,Correct
10407,2012-10-16,EMILS,EMILS,RESTAURANT,10/16/2012,Correct
10409,2013-10-01,RIVER KWAI II,RIVER KWAI II,UNKNOWN,10/01/2013,Correct
10424,2011-10-05,FARM CITY MEAT MARKET,FARM CITY MEAT MARKET,GROCERY STORE,10/05/2011,Correct
10436,2010-06-16,NORTON'S NOVELTY SHOP,NORTON'S NOVELTY SHOP,UNKNOWN,06/16/2010,Correct
10449,2012-09-25,MR T'S,MR T'S,UNKNOWN,09/25/2012,Correct
10459,2014-12-17,MONT CLARE LEYDEN VETERANS,MONT CLARE LEYDEN VETERANS,VFW HALL,12/17/2014,Correct
10468,2016-11-10,FIESTA MEXICANA RESTAURANT,FIESTA MEXICANA RESTAURANT,RESTAURANT,11/10/2016,Correct
10476,2014-04-29,EDWARDO'S NATURAL PIZZA,EDWARDO'S NATURAL PIZZA,RESTAURANT,04/29/2014,Correct
10477,2012-12-11,ALPHA FOODS & LIQUOR,ALPHA FOODS & LIQUOR,GROCERY STORE,12/11/2012,Correct
10483,2013-08-05,CAPITOL CLUB,CAPITOL CLUB,RESTAURANT,08/05/2013,Correct
10486,2017-03-29,BRICKS,BRICKS,RESTAURANT,03/29/2017,Correct
10488,2016-03-31,"SIAM CAFE,THAI RESTAURANT","SIAM CAFE,THAI RESTAURANT",RESTAURANT,03/31/2016,Correct
10540,2016-11-15,VIET HOA PLAZA,VIET HOA PLAZA,GROCERY STORE,11/15/2016,Correct
10559,2016-07-12,PODHALANKA RESTAURANT,PODHALANKA RESTAURANT,RESTAURANT,07/12/2016,Correct
10604,2017-06-15,WILLA'S FIFTY YARD LINE,WILLA'S FIFTY YARD LINE,RESTAURANT,06/15/2017,Correct
10609,2012-07-23,NEW DYNASTY RESTAURANT,NEW DYNASTY RESTAURANT,UNKNOWN,07/23/2012,Correct
10611,2014-10-08,TOKYO MARINA,TOKYO MARINA,RESTAURANT,10/08/2014,Correct
10614,2016-07-19,FRANKIE'S PLACE INC,FRANKIE'S PLACE INC,UNKNOWN,07/19/2016,Correct
10618,2013-12-13,ITALIA PIZZERIA,ITALIA PIZZERIA,UNKNOWN,12/13/2013,Correct
10627,2013-09-27,J & D ENTERPRISES INC,J & D ENTERPRISES INC,UNKNOWN,09/27/2013,Correct
10649,2014-12-17,PATEL BROTHERS,PATEL BROTHERS,UNKNOWN,12/17/2014,Correct
10651,2014-07-28,"SOUTH SHORE PRODUCE, INC.","SOUTH SHORE PRODUCE, INC.",GROCERY STORE,07/28/2014,Correct
10727,2012-09-20,CARE-A-LOT INC,CARE-A-LOT INC,DAYCARE (2-6 YEARS),09/20/2012,Correct
10728,2012-09-20,CARE-A-LOT E.L.C. II,CARE-A-LOT E.L.C. II,DAYCARE (2-6 YEARS),09/20/2012,Correct
10731,2012-11-13,NORTHWESTERN UNIVERSITY SETTLEMENT ASSOCIATION,NORTHWESTERN UNIVERSITY SETTLEMENT ASSOCIATION,CHILDREN'S SERVICES FACILITY,11/13/2012,Correct
10750,2017-01-05,PAPA CHRIS PLACE INC,PAPA CHRIS PLACE,RESTAURANT,01/05/2017,Correct
10764,2016-07-21,PARS COVE EAST,PARS COVE EAST,RESTAURANT,07/21/2016,Correct
10791,2015-12-08,GENTLE PERSUASION INC,GENTLE PERSUASION INC,RESTAURANT,12/08/2015,Correct
10794,2016-06-10,THE MARKET PLACE FOODSTORE,THE MARKET PLACE FOODSTORE,GROCERY STORE,06/10/2016,Correct
10798,2016-06-28,UN CORK IT,UN CORK IT,GROCERY STORE,06/28/2016,Correct
10801,2012-04-17,SAM'S FOOD & LIQUORS,SAM'S FOOD & LIQUORS,UNKNOWN,04/17/2012,Correct
10853,2014-06-24,MARZEYA BAKERY,MARZEYA BAKERY,RESTAURANT,06/24/2014,Correct
10861,2017-04-14,SWEDISH BAKERY INC,SWEDISH BAKERY,BAKERY,04/14/2017,Correct
10876,2015-12-17,HANK'S PARTY STORE INC,HANK'S PARTY STORE INC,LIQUOR STORE,12/17/2015,Correct
10890,2011-11-22,SEKLYCIA LITHUANIAN MANOR INN,SEKLYCIA LITHUANIAN MANOR INN,RESTAURANT,11/22/2011,Correct
10894,2017-04-17,RED APPLE FOOD & LIQUOR INC,RED APPLE FOOD & LIQUOR INC,GROCERY STORE,04/17/2017,Correct
10913,2011-06-13,MANDARIN RESTAURANT,MANDARIN RESTAURANT,RESTAURANT,06/13/2011,Correct
10916,2017-06-02,ALEXANDER'S RESTAURANT,ALEXANDER'S RESTAURANT,RESTAURANT,06/02/2017,Correct
10923,2017-04-17,OFELIO TORRES,GLORIA'S TACOS,RESTAURANT,04/17/2017,Correct
10940,2017-05-09,FAIRPLAY FINER FOOD,FAIRPLAY FINER FOOD,GROCERY STORE,05/09/2017,Correct
10947,2017-08-25,FAIRPLAY FOODS,FAIRPLAY FOODS,GROCERY STORE,08/25/2017,Correct
10949,2017-03-22,FAIRPLAY FINER FOODS INC,FAIRPLAY FINER FOODS INC,GROCERY STORE,03/22/2017,Correct
10963,2013-04-22,POLKA SAUSAGE & DELI,POLKA SAUSAGE & DELI,RESTAURANT,04/22/2013,Correct
11013,2017-02-07,MARTIN'S CORNER,MARTIN'S CORNER,RESTAURANT,02/07/2017,Correct
11030,2016-05-31,KINCADE'S,KINCADE'S,RESTAURANT,05/31/2016,Correct
11034,2016-05-31,KINCADE'S,KINCADE'S,RESTAURANT,05/31/2016,Correct
11072,2015-07-27,MONT CLARE LANES,MONT CLARE LANES/BANQUETS,BANQUET BOWLING LANES,07/27/2015,Correct
11088,2011-08-24,SNAPPY CONVENIENCE CENTER #6,SNAPPY CONVENIENCE CENTER #6,GROCERY STORE,08/24/2011,Correct
11126,2016-06-20,THE LOCAL OPTION TAVERN,THE LOCAL OPTION TAVERN,RESTAURANT,06/20/2016,Correct
11130,2010-02-18,PHIL'S PIZZA,PHIL'S PIZZA,UNKNOWN,02/18/2010,Correct
11132,2013-08-15,ARNOLD DE MAR,ARNOLD DE MAR,RESTAURANT,08/15/2013,Correct
11135,2012-09-17,DUK H RHEE,DUK H RHEE,UNKNOWN,09/17/2012,Correct
11136,2017-04-14,KARAVITES REST INC,MCDONALDS,RESTAURANT,04/14/2017,Correct
11172,2017-06-20,MAX'S TAKE OUT,MAX'S TAKE OUT,RESTAURANT,06/20/2017,Correct
11174,2012-07-18,CONTINENTAL CARE CENTER INC,CONTINENTAL CARE CENTER INC,UNKNOWN,07/18/2012,Correct
11175,2015-05-05,BG'S LOUNGE INC,BG'S LOUNGE INC,TAVERN,05/05/2015,Correct
11178,2015-08-19,MARGARET MANOR INC,MARGARET MANOR INC,LONG TERM CARE FACILITY,08/19/2015,Correct
